"Rank","Crypto","Ticker","Price","Change_1h","Change_24h","Change_7d","Volume_24h","Market_Cap"
1,"Bitcoin","BTC","$40,505.71","0.1%","-0.5%","-4.3%","$17,141,078,695","$770,303,462,673"
2,"Ethereum","ETH","$3,045.67","0.1%","-0.1%","-4.6%","$9,325,984,551","$366,630,945,738"
3,"Tether","USDT","$1.00","-0.0%","-1.2%","-0.0%","$32,582,688,503","$82,792,742,856"
4,"BNB","BNB","$416.17","0.2%","-1.0%","-1.3%","$965,638,462","$69,936,419,454"
5,"USD Coin","USDC","$0.999188","-0.1%","-1.2%","0.1%","$3,811,066,232","$50,058,856,536"
6,"XRP","XRP","$0.781021","0.2%","0.3%","3.5%","$2,852,868,049","$37,569,475,140"
7,"Solana","SOL","$102.93","0.6%","1.2%","-6.2%","$821,577,710","$34,298,774,589"
8,"Cardano","ADA","$0.956710","0.2%","0.0%","-6.9%","$433,333,442","$30,635,118,620"
9,"Terra","LUNA","$81.51","0.2%","0.4%","-13.6%","$913,540,057","$29,239,478,367"
10,"Avalanche","AVAX","$77.99","0.5%","2.6%","-6.8%","$289,038,797","$20,918,338,722"
11,"Polkadot","DOT","$18.50","0.1%","1.5%","-4.5%","$332,613,399","$20,388,687,382"
12,"Dogecoin","DOGE","$0.144472","0.2%","-2.2%","1.4%","$719,948,258","$19,165,614,641"
13,"Binance USD","BUSD","$0.999752","-0.0%","-1.2%","0.0%","$2,167,177,182","$17,448,631,823"
14,"TerraUSD","UST","$1.00","-0.0%","-1.3%","0.1%","$351,138,325","$17,343,901,926"
15,"Shiba Inu","SHIB","$0.000025879106","0.4%","-0.7%","9.0%","$340,763,112","$14,210,233,203"
16,"Wrapped Bitcoin","WBTC","$40,501.94","0.1%","-0.3%","-4.2%","$129,239,837","$11,265,480,083"
17,"NEAR Protocol","NEAR","$16.05","0.2%","0.7%","-8.6%","$483,480,810","$10,804,641,768"
18,"Cronos","CRO","$0.411197","0.1%","0.1%","-5.8%","$37,843,945","$10,389,876,302"
19,"Lido Staked Ether","STETH","$3,044.92","0.2%","0.4%","-4.5%","$82,009,930","$10,278,286,691"
20,"Polygon","MATIC","$1.39","-0.4%","0.1%","-2.9%","$272,650,587","$9,578,568,019"
21,"Dai","DAI","$1.00","-0.1%","-1.1%","-0.2%","$137,385,215","$8,794,606,672"
22,"Litecoin","LTC","$113.36","0.5%","1.8%","2.3%","$533,073,249","$7,942,675,830"
23,"Cosmos Hub","ATOM","$24.30","-0.1%","0.2%","-9.5%","$277,770,198","$7,104,889,918"
24,"Chainlink","LINK","$14.17","0.1%","1.7%","-6.4%","$313,656,958","$6,616,560,903"
25,"Bitcoin Cash","BCH","$344.79","0.1%","1.0%","6.7%","$273,934,238","$6,513,485,570"
26,"TRON","TRX","$0.062043044551","0.0%","0.2%","-0.9%","$893,091,206","$6,308,052,481"
27,"FTX Token","FTT","$42.72","0.1%","-0.4%","-4.5%","$97,892,343","$5,855,713,135"
28,"LEO Token","LEO","$5.83","0.0%","-0.5%","-0.8%","$1,759,785","$5,457,600,547"
29,"OKB","OKB","$20.66","-0.3%","2.4%","7.2%","$63,039,831","$5,373,766,209"
30,"Stellar","XLM","$0.207382","0.3%","1.3%","2.7%","$196,606,123","$5,127,308,929"
31,"Ethereum Classic","ETC","$38.10","0.1%","1.8%","-5.9%","$408,057,604","$5,115,562,609"
32,"Algorand","ALGO","$0.741624","0.1%","0.1%","-2.0%","$116,379,125","$4,975,742,685"
33,"Uniswap","UNI","$9.71","-0.2%","0.2%","0.1%","$138,431,208","$4,429,049,132"
34,"Monero","XMR","$231.06","0.2%","-2.1%","6.5%","$139,348,085","$4,183,714,135"
